address,postcode,source,price_pcm,size_sqft,bedrooms,bathrooms,url,ppsf,district,tier_num,tier,location_score,size_score,ppsf_score,comp_score
"11-13 Young Street, W8 5EH",W8 5EH,savills,8450,1381,2,2.0,https://search.savills.com/property-detail/gbkerehrl240059l,6.11875452570601,W8,3,Tier 3: Prime Central,50,36.85213414634146,39.94740546472029,63.39976980553087
"Young Street, Kensington, W8 5EH",W8 5EH,rightmove,8450,1381,2,2.0,https://www.rightmove.co.uk/properties/169659446#/?channel=RES_LET,6.11875452570601,W8,3,Tier 3: Prime Central,50,36.85213414634146,39.94740546472029,63.39976980553087
"Reeves Mews, London, W1K",W1K,knightfrank,7583,1245,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/reeves-mews-london-w1k/maq012527185,6.090763052208835,W1K,3,Tier 3: Prime Central,50,37.233231707317074,39.53592296356294,63.38457733544001
"Wilton Row, Belgravia, London, SW1X",SW1X,knightfrank,7800,1475,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/wilton-row-belgravia-london-sw1x/beq012540311,5.288135593220339,SW1X,2,Tier 2: SW1 Area,80,18.94054878048781,27.737074490813274,63.338811635650536
"Lower Belgrave Street, Begravia, SW1W",SW1W,rightmove,8016,1567,2,2.0,https://www.rightmove.co.uk/properties/167912681#/?channel=RES_LET,5.115507338864071,SW1W,1,Tier 1: Same District,100,1.410060975609756,25.199390796522813,63.30472588606628
"Chester Row, Belgravia, London, SW1W",SW1W,knightfrank,5416,1053,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/chester-row-belgravia-london-sw1w/beq012565988,5.143399810066477,SW1W,1,Tier 1: Same District,100,0.6478658536585358,25.609417936215316,63.12864189493692
"Wycombe Square, Kensington, W8",W8,rightmove,9399,1423,2,2.0,https://www.rightmove.co.uk/properties/168050771#/?channel=RES_LET,6.605059732958538,W8,3,Tier 3: Prime Central,50,28.849085365853654,47.09622823127845,62.97265679856605
"Abell House, SW1P 4FE",SW1P 4FE,savills,6500,1094,2,2.0,https://search.savills.com/property-detail/gbwprewsl240080l,5.941499085923217,SW1P,2,Tier 2: SW1 Area,80,8.460365853658535,37.341700848529534,62.90103335109403
"Ovington Gardens, SW3 1LS",SW3 1LS,savills,8450,1385,2,2.0,https://search.savills.com/property-detail/gbkbreknl150143l,6.101083032490974,SW3,3,Tier 3: Prime Central,50,36.08993902439025,39.687629564461155,62.888784294425705
"Ovington Gardens, Knightsbridge, London, SW3",SW3,rightmove,8450,1385,2,2.0,https://www.rightmove.co.uk/properties/168442571#/?channel=RES_LET,6.101083032490974,SW3,3,Tier 3: Prime Central,50,36.08993902439025,39.687629564461155,62.888784294425705
"Kings Road, London, SW3",SW3,knightfrank,7371,1343,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/kings-road-london-sw3/knq012544301,5.488458674609084,SW3,3,Tier 3: Prime Central,50,44.09298780487805,30.681879900135772,62.38743385250691
"Kingston House South, Ennismore Gardens, South Kensington, SW7",SW7,rightmove,7778,1189,2,2.0,https://www.rightmove.co.uk/properties/46273447#/?channel=RES_LET,6.541631623212784,SW7,3,Tier 3: Prime Central,50,26.5625,46.16381725103835,61.363158625519176
"Bryanston Square, W1H 2DT",W1H 2DT,savills,7401,1227,2,2.0,https://search.savills.com/property-detail/gbmorembl150026l,6.031784841075795,W1H,3,Tier 3: Prime Central,50,33.80335365853659,38.668926739399915,61.23614019896826
"Wycombe Square, London, W8",W8,knightfrank,8996,1425,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/wycombe-square-london-w8/keq012552538,6.312982456140351,W8,3,Tier 3: Prime Central,50,28.46798780487805,42.80261044768785,60.635299126282945
"Cadogan Pier, Chelsea Embankment, SW3",SW3,rightmove,6500,1324,2,3.0,https://www.rightmove.co.uk/properties/170046860#/?channel=RES_LET,4.909365558912387,SW3,3,Tier 3: Prime Central,50,47.71341463414634,22.169048888437548,59.941231761291945
"Chelsea Embankment, London, SW3",SW3,knightfrank,6500,1328,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/chelsea-embankment-london-sw3/knq012554247,4.894578313253012,SW3,3,Tier 3: Prime Central,50,46.95121951219512,21.951672235159126,59.451445873677116
"Queen's Gate, Kensington SW7",SW7,rightmove,6998,1237,2,2.0,https://www.rightmove.co.uk/properties/169231697#/?channel=RES_LET,5.657235246564269,SW7,3,Tier 3: Prime Central,50,35.70884146341463,33.16294278422768,59.435892123821155
"Kensington High Street, London, W8",W8,knightfrank,8666,1183,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/kensington-high-street-london-w8/keq012580998,7.325443786982248,W8,3,Tier 3: Prime Central,50,25.419207317073166,42.31392438632258,58.86656585169787
"Hans Place, Knightsbridge, SW1X",SW1X,rightmove,5850,1099,2,2.0,https://www.rightmove.co.uk/properties/169895471#/?channel=RES_LET,5.3230209281164695,SW1X,2,Tier 2: SW1 Area,80,9.41310975609756,28.24989868558888,58.831504220843215
"Duchess Of Bedford House, Kensington, London, W8",W8,knightfrank,6998,1363,2,2.0,https://www.knightfrank.co.uk/properties/residential/to-let/duchess-of-bedford-house-kensington-london-w8/keq012544839,5.134262655906089,W8,3,Tier 3: Prime Central,50,40.28201219512195,25.475099210630685,57.87855570287632
"Wetherby Gardens, SW5 0JN",SW5 0JN,savills,8667,1324,2,2.0,https://search.savills.com/property-detail/gblsrecel240077l,6.5460725075528705,SW5,4,Tier 4: Broader Market,20,47.71341463414634,46.22909949478281,56.97125706446458
"Wetherby Gardens, London, SW5",SW5,rightmove,8666,1324,2,2.0,https://www.rightmove.co.uk/properties/166229294#/?channel=RES_LET,6.545317220543807,SW5,4,Tier 4: Broader Market,20,47.71341463414634,46.21799656418459,56.96570559916547
"Harrington Road, South Kensington, London, SW7",SW7,knightfrank,6196,1337,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/harrington-road-south-kensington-london-sw7/skq012599335,4.6342557965594615,SW7,3,Tier 3: Prime Central,50,45.23628048780488,18.124858320291466,56.68056940404818
"Jermyn Street, St. James's, London, SW1Y",SW1Y,chestertons,5200,1117,2,2.0,https://www.chestertons.co.uk/properties/21189787/lettings/MCL240066,4.6553267681289165,SW1Y,2,Tier 2: SW1 Area,80,12.842987804878053,18.43460750459539,55.63879765473672
"Gloucester Road, South Kensington, London, SW7",SW7,knightfrank,8450,1446,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/gloucester-road-south-kensington-london-sw7/skq012573325,5.8437067773167355,SW7,3,Tier 3: Prime Central,50,24.46646341463415,35.90412651921072,55.185294966922434
"Upper Brook Street, W1K 6PA",W1K 6PA,savills,8233,1444,2,2.0,https://search.savills.com/property-detail/gbmyremfl160041l,5.7015235457063715,W1K,3,Tier 3: Prime Central,50,24.847560975609756,33.81399318730263,54.33077708145619
"Palace Street, London, SW1E",SW1E,knightfrank,4498,1432,2,2.0,https://www.knightfrank.co.uk/properties/residential/to-let/palace-street-london-sw1e/beq012598177,3.1410614525139664,SW1E,2,Tier 2: SW1 Area,80,27.134146341463417,0.0,53.56707317073171
"Nine Mulberry Square, Chelsea Barracks, SW1W",SW1W,rightmove,21500,1539,2,2.0,https://www.rightmove.co.uk/properties/169944029#/?channel=RES_LET,13.970110461338532,SW1W,1,Tier 1: Same District,100,6.745426829268297,0.0,53.37271341463415
Southwell Gardens London SW7,SW7,rightmove,5250,1294,2,2.0,https://www.rightmove.co.uk/properties/169408064#/?channel=RES_LET,4.057187017001546,SW7,3,Tier 3: Prime Central,50,46.57012195121951,9.641785616874266,53.10595378404689
"Paddington Street, Marylebone, London, W1U",W1U,knightfrank,10400,1215,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/paddington-street-marylebone-london-w1u/mrq012578151,8.559670781893004,W1U,3,Tier 3: Prime Central,50,31.51676829268293,24.170441839287154,52.84360506598504
"Queen's Gate, South Kensington, London, SW7",SW7,knightfrank,6994,1122,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/queen-s-gate-south-kensington-london-sw7/skq012523174,6.233511586452763,SW7,3,Tier 3: Prime Central,50,13.795731707317078,41.63436640253249,52.71504905492478
"Onslow Gardens, South Kensington, London, SW7",SW7,knightfrank,12783,1305,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/onslow-gardens-south-kensington-london-sw7/skq012513484,9.795402298850576,SW7,3,Tier 3: Prime Central,50,48.666158536585364,6.004842396728799,52.33550046665708
